platform,account,published_at,content_id,content_type,caption,impressions,engagements,followers_current,followers_gained,clicks,thumbnail_url,preview_url,post_url,coverage,attribution_key,engagements_complete
instagram,@makeable.zak,2026-08-26T17:16:09.000Z,Dcgubw3goSZ,reel,"A Tamagotchi, but it motion detects when you sit down, starts dancing, and grows the more you build.",1405,15,47,,,/dashboard/media/social/Dcgubw3goSZ.jpg,/dashboard/media/social/Dcgubw3goSZ.mp4,https://www.instagram.com/makeable.zak/reel/Dcgubw3goSZ/,public-snapshot,makeable_zak,false
instagram,@makeable.zak,2026-08-18T21:57:38.000Z,DcMoOT3ygGG,reel,Check out makeable.build for an Ember,183,3,47,,,/dashboard/media/social/DcMoOT3ygGG.jpg,/dashboard/media/social/DcMoOT3ygGG.mp4,https://www.instagram.com/makeable.zak/reel/DcMoOT3ygGG/,public-snapshot,makeable_zak,false
instagram,@makeable.zak,2026-08-18T18:29:30.000Z,DcMQd6YgnBk,reel,Check out makeable.build,291,9,47,,,/dashboard/media/social/DcMQd6YgnBk.jpg,/dashboard/media/social/DcMQd6YgnBk.mp4,https://www.instagram.com/makeable.zak/reel/DcMQd6YgnBk/,public-snapshot,makeable_zak,false
instagram,@makeable.zak,2026-08-17T05:57:23.000Z,DcIVnUSgLv_,reel,Do yall like version 1 or 2?,274,3,47,,,/dashboard/media/social/DcIVnUSgLv_.jpg,/dashboard/media/social/DcIVnUSgLv_.mp4,https://www.instagram.com/makeable.zak/reel/DcIVnUSgLv_/,public-snapshot,makeable_zak,false
instagram,@makeable.zak,2026-08-15T22:04:44.000Z,DcE6cTmSgZ0,reel,Grab one at Makeable.build,333,14,47,,,/dashboard/media/social/DcE6cTmSgZ0.jpg,/dashboard/media/social/DcE6cTmSgZ0.mp4,https://www.instagram.com/makeable.zak/reel/DcE6cTmSgZ0/,public-snapshot,makeable_zak,false
